goal,episodes,successes,success_rate,mean_reward,mean_episode_length,mean_final_absolute_error
-0.8,5,5,1.0,10.82788778648901,22.0,0.006209110568698439
-0.4,5,5,1.0,15.473134438553824,16.0,0.014085394555188091
+0.4,5,5,1.0,15.563568317936733,17.0,0.004832579910502621
+0.8,5,5,1.0,11.035848895530217,22.0,0.009103549432353586
overall,20,20,1.0,13.225109859627446,19.25,0.008557658616685684
