goal,episodes,successes,success_rate,mean_reward,mean_episode_length,mean_final_absolute_error
-0.8,5,5,1.0,11.058340473193676,22.0,0.0014839096307502908
-0.4,5,5,1.0,15.447119736578315,17.0,0.0054776890176205795
+0.4,5,5,1.0,15.579138077207608,17.0,0.01299763436871565
+0.8,5,5,1.0,11.027666729805059,23.0,0.007083767033902011
overall,20,20,1.0,13.278066254196162,19.75,0.006760750012747133
