episode,update,reward,success,steps,minimum_distance,target_x,target_y,target_z
1,1,-69.06400617164502,0,120,0.2342628505048828,0.525788279087588,0.22413369177090672,0.8544343503647798
2,1,-130.53654536963896,0,120,0.6396327696990431,0.5768202361112351,0.255394523196289,1.0980129924084165
3,1,-141.47482115837738,0,120,0.6034477738585056,0.5838324918329747,0.14423307600226465,1.013526858539926
4,1,-116.05744095984784,0,120,0.555023924773895,0.5602812278032062,0.2156790461784132,1.0074004279258235
5,1,-107.70236166441974,0,120,0.46441315012292417,0.5577627195984853,0.12768602800185255,0.9214717308478853
6,1,-78.68427250236425,0,120,0.19939223282077745,0.5103236302216846,0.21501030565672344,0.8154230753060328
7,1,-136.20564360458636,0,120,0.5749118811180439,0.5502770194714917,0.11103654082726795,0.9730930525694568
8,1,-152.89009118861563,0,120,0.6228128132936791,0.5800864229577087,0.21161196358669732,1.0172480513313844
9,2,-114.16931053996905,0,120,0.572067855284571,0.5714401184827286,0.10587483432654864,1.1027745196736105
10,2,-108.15853926695151,0,120,0.49552597921091013,0.5851602918955027,0.11875686111515063,1.0633533734910419
11,2,-127.22012504807503,0,120,0.5965386466908338,0.56815135138621,0.23372955645290153,1.0727833672813272
12,2,-109.99915678305007,0,120,0.5034790210944515,0.5409054105728565,0.22937648793023793,0.9273583121885263
13,2,-91.87671548179763,0,120,0.39532817078754573,0.5472389213546728,0.052274561971642784,0.9977874984584724
14,2,-58.09462304458131,0,120,0.11913053947697459,0.5147996234435365,0.25970476167496337,0.8437989878850183
15,2,-124.01893696883361,0,120,0.585819665175934,0.5663187297336231,0.10562088151934965,1.0611928046645218
16,2,-83.656741591807,0,120,0.34513215437372885,0.5368676390133472,0.20154940503336494,0.8695350314862437
17,2,-85.26614017252487,0,120,0.34518797301555926,0.5623506683345525,0.1870249511841589,0.9842578402350441
18,3,-108.23175992769198,0,120,0.5025491826937704,0.5747875880287324,0.07605406708080394,1.1492296450895159
19,3,-45.31691912060221,0,120,0.09296358858770068,0.527762184463752,0.09084358369236618,0.878313135317238
20,3,-80.32122967950505,0,120,0.34143957731092905,0.576878900012911,0.20254624294533558,1.0034158558414847
21,3,-98.62613873111336,0,120,0.43470848582097565,0.5610888400732228,0.19049702460613427,1.0055455158600095
22,3,-88.19664277167647,0,120,0.33869429421291875,0.5762201325426867,0.06621131968929699,1.1442413325262282
23,3,-105.51426145790519,0,120,0.4103615961762972,0.584254129692243,0.12432828440458397,1.0448391217078057
24,3,-61.7072434515693,0,120,0.16823134546867707,0.5682060023969245,0.13434106525752953,0.9592592732076863
25,3,-65.91284653706357,0,120,0.23215742869216072,0.5531123234273012,0.08816256317486734,0.901118270703016
26,4,-25.727046366902503,0,120,0.017719907298809356,0.4665056549051887,0.26527408189182283,0.7631816973814453
27,4,-64.18732317774082,0,120,0.2438777917367324,0.5485114580894193,0.2146675570170125,0.9465878323767514
28,4,-77.26214133493892,0,120,0.1967598282078195,0.5619335908395547,0.1748497292261428,1.2059800678479227
29,4,-38.57575983800034,0,120,0.018487628968597132,0.5728998912248408,0.17204597716218975,0.9668091587969998
30,4,-31.49963674165694,0,120,0.007667940978944552,0.5320355277420453,0.23891518212149276,0.8789343695593609
31,4,-44.4876493126056,0,120,0.07822806940183971,0.5613444522430672,0.1589937933745537,0.9578932076181917
32,4,-73.40342395927942,0,120,0.17428469242678826,0.5573465179994186,0.07836813518824853,1.2076084589869718
33,4,-40.05707449862106,0,120,0.06415205252251115,0.5848545122901936,0.1600507945971624,1.0243550174547518
34,4,-58.46783523206368,0,120,0.11931904863752975,0.563190723732555,0.13466043671974032,1.0557159602823394
35,5,-42.60448040860413,0,120,0.08229241356158973,0.534367238206459,0.2241684821744818,0.9300469037057395
36,5,-23.607064014812856,1,120,0.01654845654386248,0.5678686538195659,0.21143484329321413,0.9821809629739648
37,5,-48.89800834032686,0,120,0.15988697812981,0.5671810220154222,0.10910478168513307,0.969201362105377
38,5,-41.6991275121685,0,120,0.09020285034334029,0.5542928269177709,0.1114489101085427,0.9004601787601024
39,5,-43.05013971548354,0,120,0.04599829348333772,0.5849377377494583,0.12694188584642938,1.0578914152557637
40,5,-56.78972280438469,0,120,0.21579458268437307,0.577608512091344,0.2112362432835477,1.0153104135946227
41,5,-61.36465617252258,0,120,0.17630166601011862,0.5529812582974587,0.13383659352978075,1.2193814692406753
42,5,-38.553810292123856,0,120,0.033753235846803877,0.5503341351516271,0.190332419331241,0.8977525513027924
43,6,-72.31072570152885,0,120,0.21686298149822597,0.575806477572056,0.21771494515706627,1.0595577924757251
44,6,-45.13975798794884,0,120,0.11938082993657406,0.5621527434562543,0.14393925618603226,1.1636317022149856
45,6,-44.41892664263943,0,120,0.1793681829776267,0.5548154636256761,0.29947009222413923,0.9932526055911769
46,6,-55.77526500262913,0,120,0.2225428318122648,0.5302193770222683,0.26732610062095213,0.9157176849064488
47,6,-42.321823153251785,0,120,0.030976236059613155,0.552860916498421,0.18035093239996114,0.9790712164359908
48,6,-19.822514642380323,0,120,0.03808832092638191,0.5533399525302545,0.19133429366090693,0.9555929977440951
49,6,-37.80704123333321,0,120,0.07100323390137521,0.5663817084330597,0.12657546838798217,1.1777557594445192
50,6,-1.3152189766416011,1,82,0.017555994333027052,0.562487734805179,0.20074484196759057,0.9929312577822484
51,6,-38.68542724535715,0,120,0.02066632021642123,0.5474063232377615,0.25355688063163784,0.993111809773906
52,7,-31.04686921018938,0,120,0.04417580980898251,0.580561204056657,0.05373520442619952,1.0862487266299714
53,7,-33.215884472150385,0,120,0.0776638881926849,0.5848916875865678,0.15554083249958325,1.1037238794582354
54,7,-22.886987918330274,0,120,0.02851145016509074,0.5794977034675882,0.22850432082043073,1.0593321216710267
55,7,-42.305297471076635,0,120,0.12555369143523953,0.5790757813285429,0.1049329783532786,1.1259703913226216
56,7,-32.67176295820899,0,120,0.10560830770198862,0.5705239721331695,0.18399688075610882,0.9555844409088847
57,7,-21.850047174651642,0,120,0.020340521019208718,0.5784659812283761,0.19255236108311904,1.0453068562085506
58,7,-18.25550822220724,0,120,0.021462092963801402,0.5469277240980693,0.06791361179090682,0.9222260663341408
59,7,-45.92919033177321,0,120,0.07694805821666639,0.47670910712617015,0.2774369617557432,0.7852572419635666
60,7,-31.756317348650608,0,120,0.0493545507065391,0.5666257197771233,0.1286320489989614,1.0590877396043439
61,8,-32.54658986237722,0,120,0.0881276417261755,0.5265486213592414,0.2350670615730062,0.8708944173340282
62,8,-21.830953109574242,0,120,0.02046201834684582,0.5578962798485002,0.25196971950702907,0.991481093421387
63,8,-31.670076614028886,0,120,0.07628254347906742,0.567776053028723,0.1746130837574324,0.9458085772345487
64,8,-22.81233943579647,0,120,0.07033057234408796,0.5599679934315073,0.11448935880094359,0.9240275910557274
65,8,-16.244745816236488,0,120,0.017728124142783734,0.512852752851501,0.09445938341289964,0.8247172840246838
66,8,-54.18395044301845,0,120,0.185754428328795,0.5637307169476983,0.1430422024085332,1.1873795841018762
67,8,-16.037853861816735,0,120,0.00726977668213462,0.5295122117993802,0.1011521674879578,0.8933190072776347
68,8,-41.12782355198258,0,120,0.06269805490480862,0.545247188738831,-0.027508239569027294,1.1393836747759187
69,9,-36.886345300995,0,120,0.05457808985808999,0.5753062260947189,0.15460419908885087,1.1733534626992523
70,9,-25.114946682332338,0,120,0.04522886652182345,0.5736073946828844,0.19681196928023825,0.977413484415783
71,9,-34.241830843051446,0,120,0.0872341655417491,0.5585559799915251,0.020345615358834498,1.1665610674995548
72,9,-7.177156169662339,0,120,0.03704148933566139,0.5594728213716974,0.10632942675437404,0.958124059129857
73,9,-23.016915433534145,0,120,0.06858922582692391,0.5655708849802539,0.1250592189598431,1.0649985813393343
74,9,-31.704343735820416,0,120,0.03718137873541474,0.4728071763747943,0.1716103217050823,0.7501445672641983
75,9,-38.384367238447865,0,120,0.17019897607610754,0.4894463071008937,0.3026683619391229,0.82494722437083
76,9,-28.50818811667782,0,120,0.046552809944825024,0.5349586047140453,0.13221575226699211,0.8699242659364541
77,9,-28.60618699916777,0,120,0.08243614432070744,0.5150654966757886,0.1963041205217551,0.8287155695172288
78,10,-26.544703156637514,0,120,0.05899256997181425,0.5755016235803381,0.07237203928640955,1.0639581750090634
79,10,-17.53938591419605,0,120,0.06240423912195208,0.5756814801961048,0.09289783922786178,1.1004953472238745
80,10,-24.142522623441327,0,120,0.048045976246612214,0.5606391025116126,0.2143515031307449,0.9330895817857402
81,10,-24.855257052659017,0,120,0.05256730943910387,0.513147878064988,0.19240349279990607,0.829702839552433
82,10,-22.744840417769076,0,120,0.029228762744247922,0.5245212278916748,0.2623161895266934,0.8781373533278433
83,10,-17.322148226143,0,120,0.04473274710030128,0.5636442147133667,0.1572811183470817,1.0000034555826463
