episode,seed,success,steps,reward,minimum_distance,final_distance,target_x,target_y,target_z,final_critic_value
1,1000,1,24,22.370229980995394,0.015563585841769931,0.015563585841769931,0.5690267210280645,0.16719529561034893,1.0436197869774813,11.253711700439453
2,1001,1,20,20.706888995289184,0.02190380857483629,0.02190380857483629,0.5253684172955181,0.09064942566496528,0.8388969561206445,11.664192199707031
3,1002,1,25,22.151826616116765,0.02022050560976492,0.02022050560976492,0.577264105802664,0.15224274974278432,1.048763792927079,11.136277198791504
4,1003,1,26,21.778257049785424,0.025830697586684437,0.025830697586684437,0.5827476366145663,0.10181240216428668,1.0437302509839712,10.798587799072266
5,1004,1,30,21.66299394772237,0.02380105291810544,0.02380105291810544,0.56217903213749,0.006956803146759,1.1466663128836052,9.376689910888672
6,1005,1,28,22.17119310466179,0.024592886059294956,0.024592886059294956,0.5822488267293883,0.20203224091402155,1.115180895396632,11.152632713317871
7,1006,1,26,22.266077470148446,0.01774651538317873,0.01774651538317873,0.5738263983012736,0.13003493183628712,1.0903840317553406,10.728461265563965
8,1007,1,29,22.161630598250028,0.02249848141443715,0.02249848141443715,0.5587577521591921,0.18076838988945534,1.2198956357983648,10.40073013305664
9,1008,1,25,21.93908131754783,0.024674637472050197,0.024674637472050197,0.5770546668985821,0.21855202841196303,1.004864652841468,11.813682556152344
10,1009,1,29,21.803523808921806,0.022301824296109607,0.022301824296109607,0.5631500588666987,0.02967402809301538,1.1498125709521243,9.561515808105469
11,1010,1,26,21.859490545297945,0.026279388995983154,0.026279388995983154,0.5847067841618675,0.18462116290882635,1.0287613943771523,11.46890926361084
12,1011,1,26,22.18192008956914,0.019507865438715494,0.019507865438715494,0.564830700792032,0.0935488511994545,1.1327443113152043,10.225974082946777
13,1012,1,24,21.87155210091587,0.023331121000487533,0.023331121000487533,0.571665805788804,0.2148357269435566,0.9799540463510663,11.901616096496582
14,1013,1,21,21.33417933477162,0.014374453842149934,0.014374453842149934,0.5375846242965814,0.1346288670222476,0.8804701254867239,11.73531723022461
15,1014,1,22,21.47709624638759,0.02227549573899746,0.02227549573899746,0.5522227328094982,0.2274818809314176,0.9113617834428799,12.273983001708984
16,1015,1,26,22.46561058227912,0.017242334900623237,0.017242334900623237,0.5668285222553692,0.16738617667835795,1.1313646020517603,10.796600341796875
17,1016,1,26,21.91411277734847,0.0238755125563701,0.0238755125563701,0.5824788941989679,0.12439933104363089,1.051359570496496,10.91950798034668
