update,environment_steps,episodes_completed,success_rate,evaluation_success_rate,evaluation_mean_minimum_distance,actor_loss,critic_loss,entropy,elapsed_seconds
1,1024,8,0.0,nan,nan,-0.021255606232443824,82.29914289712906,3.682230819016695,0.18219362499075942
2,2048,9,0.0,nan,nan,-0.017894251737743616,48.663390308618546,3.6875076964497566,0.3548219169897493
3,3072,8,0.0,nan,nan,-0.02095322973036673,27.698958218097687,3.6831716373562813,0.5255155829945579
4,4096,9,0.0,nan,nan,-0.013408801241894253,10.613489471375942,3.6753995679318905,0.6961739580001449
5,5120,8,0.125,0.4,0.05910713870868075,-0.010719188285293058,10.412154037505388,3.690507870167494,1.1079835829877993
6,6144,9,0.1111111111111111,nan,nan,-0.006331362848868594,8.691096052527428,3.692157905548811,1.2771021249936894
7,7168,9,0.0,nan,nan,-0.0124373688158812,2.7238634899258614,3.653951894491911,1.4459941669920227
8,8192,8,0.0,nan,nan,-0.01732391344557982,2.9049770161509514,3.659963395446539,1.629645166991395
9,9216,9,0.0,nan,nan,-0.019342497675097547,1.9641284681856632,3.667194038629532,1.7981263749970822
10,10240,8,0.0,0.0,0.06097702407008008,-0.021811945975059643,1.1191118145361543,3.668102689087391,2.2167735419934615
11,11264,9,0.0,nan,nan,-0.01093021007545758,1.4167084861546755,3.654666379094124,2.3853883749980014
12,12288,9,0.2222222222222222,nan,nan,-0.008599715365562588,10.80140446871519,3.6525112949311733,2.553839166997932
13,13312,10,0.4,nan,nan,-0.009767557916347869,17.723020121455193,3.649570744484663,2.7225370419910178
14,14336,10,0.3,nan,nan,-0.008910538817872293,10.262518115341663,3.6445995047688484,2.897037457994884
15,15360,9,0.3333333333333333,0.7,0.040190241465678955,-0.012388948845909908,9.988798581063747,3.6400666274130344,3.2415991669986397
16,16384,9,0.1111111111111111,nan,nan,-0.021510459228011314,4.297363616526127,3.6317498423159122,3.4116568749886937
17,17408,10,0.3,nan,nan,-0.017810852266848087,8.264465771615505,3.6191962771117687,3.5814421249961015
18,18432,9,0.3333333333333333,nan,nan,-0.011051799461711198,6.879244588315487,3.610908877104521,3.750973292000708
19,19456,11,0.45454545454545453,nan,nan,-0.012150159222073853,8.835102893412113,3.606400813907385,3.9207400000013877
20,20480,12,0.6666666666666666,1.0,0.02983113943500488,-0.011939252319280058,6.86202047765255,3.5967017225921154,4.183146166993538
21,21504,10,0.3,nan,nan,-0.013917611009674147,4.110346555709839,3.592202167958021,4.353793082991615
22,22528,12,0.5833333333333334,nan,nan,-0.010231846827082336,4.13188586011529,3.590158525854349,4.524542957995436
23,23552,13,0.8461538461538461,nan,nan,-0.01589657017029822,4.211082741618156,3.5819523632526398,4.693489249999402
24,24576,10,0.3,nan,nan,-0.01682871523371432,2.2238641511648893,3.566998638212681,4.8621007920010015
25,25600,15,0.8666666666666667,1.0,0.025738181873530275,-0.006305971335677896,3.0900400429964066,3.5608583949506283,5.094889667001553
26,26624,16,0.9375,nan,nan,-0.007027833227766678,2.9236053116619587,3.5548955760896206,5.263260124993394
27,27648,13,0.7692307692307693,nan,nan,-0.01905932920635678,2.1987264547497034,3.5411104410886765,5.431126707990188
28,28672,13,0.7692307692307693,nan,nan,-0.01061762346944306,1.6915552727878094,3.5120137855410576,5.59935224999208
29,29696,14,0.7857142857142857,nan,nan,-0.007517427482525818,1.7081699185073376,3.487580005079508,5.767131207991042
30,30720,20,1.0,1.0,0.024203225489065228,-0.015466305718291551,1.290845938026905,3.4728894121944904,5.998519791988656
31,31744,24,1.0,nan,nan,-0.015244579801219516,0.7759135961532593,3.462223708629608,6.168326207989594
32,32768,19,0.8947368421052632,nan,nan,-0.01787675727973692,0.8810455091297626,3.4519479162991047,6.338454249998904
