configuration,epsilon_decay,training_episodes,training_seconds,final_epsilon,final_20_mean_training_reward,final_50_training_success_rate,evaluation_success_rate,mean_evaluation_reward,mean_evaluation_length,mean_final_absolute_error
config_a,0.995,600,23.727217208128422,0.05,14.274503642037086,1,1.0,13.278066254196162,19.75,0.006760750012747133
config_b,0.985,600,18.238783500157297,0.05,14.193561571260215,1,1.0,13.225109859627446,19.25,0.008557658616685684
