policy,successes,episodes,success_rate,mean_cumulative_reward,mean_episode_length,mean_final_absolute_error
rule_based,20,20,1.0,12.866629067342728,24.0,0.012209044417276146
selected_dqn_config_a,20,20,1.0,13.278066254196162,19.75,0.006760750012747133
